import time: self [us] | cumulative | imported package
import time:       131 |        131 |   _io
import time:        34 |         34 |   marshal
import time:       232 |        232 |   posix
import time:       809 |       1205 | _frozen_importlib_external
import time:        70 |         70 |   time
import time:       231 |        300 | zipimport
import time:        26 |         26 |     _codecs
import time:       342 |        368 |   codecs
import time:       591 |        591 |   encodings.aliases
import time:       890 |       1848 | encodings
import time:       163 |        163 | encodings.utf_8
import time:       142 |        142 | _signal
import time:        18 |         18 |     _abc
import time:       332 |        350 |   abc
import time:       695 |       1044 | io
import time:        39 |         39 |       _stat
import time:       332 |        371 |     stat
import time:       488 |        488 |     _collections_abc
import time:        23 |         23 |       genericpath
import time:       305 |        328 |     posixpath
import time:      1009 |       2194 |   os
import time:       104 |        104 |   _sitebuiltins
import time:     12495 |      12495 |   _distutils_hack
import time:      3038 |       3038 |     apport_python_hook
import time:       383 |       3420 |   sitecustomize
import time:     48381 |      66592 | site
import time:       383 |        383 |     types
import time:       575 |        575 |     _ctypes
import time:        58 |         58 |       _struct
import time:       500 |        558 |     struct
import time:       299 |        299 |     ctypes._endian
import time:      2017 |       3829 |   ctypes
import time:       135 |        135 |         itertools
import time:       440 |        440 |         keyword
import time:        38 |         38 |           _operator
import time:       554 |        592 |         operator
import time:       576 |        576 |         reprlib
import time:       101 |        101 |         _collections
import time:      2802 |       4642 |       collections
import time:        35 |         35 |         _functools
import time:      1887 |       1921 |       functools
import time:      1057 |       7619 |     contextlib
import time:      1180 |       1180 |       enum
import time:        50 |         50 |         _sre
import time:       474 |        474 |           re._constants
import time:       984 |       1457 |         re._parser
import time:       111 |        111 |         re._casefix
import time:       892 |       2509 |       re._compiler
import time:       659 |        659 |       copyreg
import time:      1262 |       5607 |     re
import time:       503 |        503 |     fnmatch
import time:      1314 |      15042 |   glob
import time:       571 |        571 |     warnings
import time:       759 |       1329 |   importlib
import time:       513 |        513 |       _ast
import time:      1919 |       2432 |     ast
import time:        33 |         33 |         _opcode
import time:       621 |        654 |       opcode
import time:      1158 |       1811 |     dis
import time:       162 |        162 |     collections.abc
import time:        51 |         51 |     importlib.machinery
import time:       384 |        384 |         token
import time:      1185 |       1569 |       tokenize
import time:       631 |       2200 |     linecache
import time:      3169 |       9823 |   inspect
import time:        76 |         76 |   math
import time:      1620 |       1620 |   platform
import time:       872 |        872 |   textwrap
import time:       425 |        425 |     _weakrefset
import time:       864 |       1289 |   threading
import time:       585 |        585 |     _typing
import time:      2670 |       3254 |   typing
import time:     16913 |      16913 |   typing_extensions
import time:       988 |        988 |       traceback
import time:       633 |        633 |       weakref
import time:        34 |         34 |         _string
import time:       810 |        844 |       string
import time:        36 |         36 |       atexit
import time:      3526 |       6025 |     logging
import time:     26364 |      32389 |   torch._utils
import time:        46 |         46 |         errno
import time:       140 |        140 |         zlib
import time:       532 |        532 |           _compression
import time:       486 |        486 |           _bz2
import time:      1207 |       2225 |         bz2
import time:       731 |        731 |           _lzma
import time:       922 |       1653 |         lzma
import time:      1600 |       5661 |       shutil
import time:        28 |         28 |           _bisect
import time:       441 |        468 |         bisect
import time:        29 |         29 |         _random
import time:        39 |         39 |         _sha512
import time:      1352 |       1886 |       random
import time:      1257 |       8803 |     tempfile
import time:     28113 |      28113 |       torch._strobelight
import time:        68 |         68 |         _datetime
import time:      1327 |       1395 |       datetime
import time:       236 |        236 |         _socket
import time:        73 |         73 |           select
import time:      1304 |       1376 |         selectors
import time:        45 |         45 |         array
import time:      1862 |       3517 |       socket
import time:        63 |         63 |             _locale
import time:      1467 |       1529 |           locale
import time:       903 |        903 |           signal
import time:        84 |         84 |           fcntl
import time:      3003 |       3003 |           msvcrt
import time:        60 |         60 |           _posixsubprocess
import time:      2025 |       7601 |         subprocess
import time:        40 |         40 |           gc
import time:       690 |        729 |         timeit
import time:     20897 |      29227 |       torch._strobelight.cli_function_profiler
import time:     31716 |      93966 |     torch._strobelight.compile_time_profiler
import time:     16572 |     119341 |   torch._utils_internal
import time:     27898 |      27898 |         torch._vendor
import time:     45386 |      73284 |       torch._vendor.packaging
import time:     18329 |      18329 |       torch._vendor.packaging._structures
import time:     37935 |     129548 |     torch._vendor.packaging.version
import time:     14155 |      14155 |     torch.version
import time:     16342 |     160044 |   torch.torch_version
import time:     17820 |      17820 |           numpy._utils._convertions
import time:     14870 |      32689 |         numpy._utils
import time:      9874 |      42562 |       numpy._globals
import time:      7262 |       7262 |       numpy.exceptions
import time:      8937 |       8937 |       numpy.version
import time:      1102 |       1102 |         numpy._distributor_init_local
import time:      9530 |      10631 |       numpy._distributor_init
import time:     11249 |      11249 |                 numpy._utils._inspect
import time:      5292 |       5292 |                   numpy.core._exceptions
import time:      4427 |       4427 |                   numpy.dtypes
import time:    420203 |     429921 |                 numpy.core._multiarray_umath
import time:     11964 |     453133 |               numpy.core.overrides
import time:     17888 |     471021 |             numpy.core.multiarray
import time:      5763 |       5763 |             numpy.core.umath
import time:      1049 |       1049 |               numbers
import time:      5276 |       5276 |               numpy.core._string_helpers
import time:       488 |        488 |                         urllib
import time:      1319 |       1807 |                       urllib.parse
import time:       763 |        763 |                         _winapi
import time:       537 |        537 |                         nt
import time:       727 |        727 |                         nt
import time:       486 |        486 |                         nt
import time:       518 |        518 |                         nt
import time:       551 |        551 |                         nt
import time:      1318 |       4896 |                       ntpath
import time:      2284 |       8986 |                     pathlib
import time:       674 |        674 |                     pickle5
import time:       420 |        420 |                       _compat_pickle
import time:        76 |         76 |                       _pickle
import time:       468 |        468 |                           org
import time:       193 |        660 |                         org.python
import time:       159 |        819 |                       org.python.core
import time:      1571 |       2884 |                     pickle
import time:     12262 |      24804 |                   numpy.compat.py3k
import time:      8517 |      33321 |                 numpy.compat
import time:      4827 |       4827 |                 numpy.core._dtype
import time:      5911 |      44058 |               numpy.core._type_aliases
import time:      6452 |      56833 |             numpy.core.numerictypes
import time:       466 |        466 |                         _contextvars
import time:      1509 |       1974 |                       contextvars
import time:      5756 |       7730 |                     numpy.core._ufunc_config
import time:      5579 |      13309 |                   numpy.core._methods
import time:      7247 |      20555 |                 numpy.core.fromnumeric
import time:      6324 |      26879 |               numpy.core.shape_base
import time:      6425 |       6425 |               numpy.core.arrayprint
import time:      4962 |       4962 |               numpy.core._asarray
import time:      8385 |      46650 |             numpy.core.numeric
import time:      6933 |       6933 |             numpy.core.defchararray
import time:      4867 |       4867 |             numpy.core.records
import time:      5734 |       5734 |             numpy.core.memmap
import time:      5791 |       5791 |             numpy.core.function_base
import time:      5108 |       5108 |             numpy.core._machar
import time:      6204 |       6204 |             numpy.core.getlimits
import time:      6445 |       6445 |             numpy.core.einsumfunc
import time:     12115 |      12115 |               numpy.core._multiarray_tests
import time:      8346 |      20460 |             numpy.core._add_newdocs
import time:      5268 |       5268 |             numpy.core._add_newdocs_scalars
import time:      4025 |       4025 |             numpy.core._dtype_ctypes
import time:      5620 |       5620 |             numpy.core._internal
import time:      5754 |       5754 |             numpy._pytesttester
import time:     18518 |     680985 |           numpy.core
import time:       182 |     681166 |         numpy.core._multiarray_umath
import time:      9996 |     691162 |       numpy.__config__
import time:     10319 |      10319 |         numpy.lib.mixins
import time:      9115 |       9115 |             numpy.lib.ufunclike
import time:      9386 |      18500 |           numpy.lib.type_check
import time:     21793 |      40293 |         numpy.lib.scimath
import time:      9032 |       9032 |                     numpy.lib.stride_tricks
import time:      8244 |      17276 |                   numpy.lib.twodim_base
import time:     13089 |      13089 |                   numpy.linalg._umath_linalg
import time:       525 |        525 |                     __future__
import time:     12309 |      12309 |                     numpy._typing._nested_sequence
import time:      7223 |       7223 |                     numpy._typing._nbit
import time:      7758 |       7758 |                     numpy._typing._char_codes
import time:      8046 |       8046 |                     numpy._typing._scalars
import time:      7162 |       7162 |                     numpy._typing._shape
import time:      9152 |       9152 |                     numpy._typing._dtype_like
import time:      8536 |       8536 |                     numpy._typing._array_like
import time:     12684 |      73391 |                   numpy._typing
import time:     14938 |     118692 |                 numpy.linalg.linalg
import time:     12907 |     131599 |               numpy.linalg
import time:     13891 |     145490 |             numpy.matrixlib.defmatrix
import time:     10090 |     155579 |           numpy.matrixlib
import time:      9486 |       9486 |             numpy.lib.histograms
import time:     11289 |      20775 |           numpy.lib.function_base
